ticker,date,target
DDOG,2021-04-12,1
MA,2021-04-12,0
MS,2021-04-12,0
PLTR,2021-04-12,1
GOOGL,2021-04-12,1
FSLR,2021-04-12,1
ENPH,2021-04-12,1
AMZN,2021-04-12,1
MDB,2021-04-12,1
META,2021-04-13,0
WFC,2021-04-13,1
MSFT,2021-04-13,0
NOW,2021-04-13,0
TSLA,2021-04-13,0
MS,2021-04-13,1
INTC,2021-04-13,0
MDB,2021-04-13,0
AAPL,2021-04-13,0
NVDA,2021-04-13,0
DDOG,2021-04-13,0
PLTR,2021-04-13,0
NET,2021-04-13,0
GOOGL,2021-04-13,0
AMAT,2021-04-13,0
JPM,2021-04-13,0
CRM,2021-04-13,0
QCOM,2021-04-13,0
V,2021-04-13,1
MU,2021-04-13,0
SHOP,2021-04-13,0
BAC,2021-04-13,1
ABNB,2021-04-13,0
UNH,2021-04-13,1
AMZN,2021-04-13,0
TGT,2021-04-13,1
BLK,2021-04-13,0
NFLX,2021-04-13,0
COST,2021-04-13,0
PYPL,2021-04-13,0
AVGO,2021-04-13,0
MA,2021-04-13,1
AMD,2021-04-13,0
WMT,2021-04-13,0
ENPH,2021-04-13,0
FSLR,2021-04-13,0
ISRG,2021-04-13,0
DXCM,2021-04-13,1
GS,2021-04-13,1
EBAY,2021-04-13,0
SNOW,2021-04-13,0
FSLR,2021-04-14,0
INTC,2021-04-14,1
V,2021-04-14,1
COST,2021-04-14,1
NVDA,2021-04-14,1
QCOM,2021-04-14,1
PYPL,2021-04-14,1
AAPL,2021-04-14,1
ABNB,2021-04-14,0
NET,2021-04-14,1
CRM,2021-04-14,1
JPM,2021-04-14,1
MA,2021-04-14,1
EBAY,2021-04-14,1
DDOG,2021-04-14,1
AMZN,2021-04-14,1
GOOGL,2021-04-14,1
SNOW,2021-04-14,1
ENPH,2021-04-14,0
ISRG,2021-04-14,1
MS,2021-04-14,1
MSFT,2021-04-14,1
GS,2021-04-14,1
TSLA,2021-04-14,1
BLK,2021-04-14,1
WFC,2021-04-14,1
DXCM,2021-04-14,1
PLTR,2021-04-14,0
WMT,2021-04-14,1
MDB,2021-04-14,1
AMAT,2021-04-14,1
META,2021-04-14,1
NOW,2021-04-14,1
MU,2021-04-14,0
NFLX,2021-04-14,1
SHOP,2021-04-14,1
BAC,2021-04-14,0
TGT,2021-04-14,1
UNH,2021-04-14,1
AVGO,2021-04-14,1
AMD,2021-04-14,1
AAPL,2021-04-15,0
EBAY,2021-04-15,1
META,2021-04-15,0
FSLR,2021-04-15,1
SNOW,2021-04-15,0
TGT,2021-04-15,1
WMT,2021-04-15,1
BLK,2021-04-15,0
MSFT,2021-04-15,1
TSLA,2021-04-15,1
GOOGL,2021-04-15,0
DXCM,2021-04-15,1
AMZN,2021-04-15,1
CRM,2021-04-15,0
PLTR,2021-04-15,0
PYPL,2021-04-15,0
QCOM,2021-04-15,1
ISRG,2021-04-15,1
MU,2021-04-15,1
NET,2021-04-15,0
WFC,2021-04-15,1
NVDA,2021-04-15,0
AVGO,2021-04-15,0
JPM,2021-04-15,1
V,2021-04-15,1
AMD,2021-04-15,0
SHOP,2021-04-15,0
BAC,2021-04-15,1
MDB,2021-04-15,0
DDOG,2021-04-15,0
COST,2021-04-15,1
MS,2021-04-15,0
NOW,2021-04-15,0
GS,2021-04-15,1
UNH,2021-04-15,1
ENPH,2021-04-15,1
NFLX,2021-04-15,0
INTC,2021-04-15,0
AMAT,2021-04-15,0
MA,2021-04-15,0
ABNB,2021-04-15,1
AMAT,2021-04-16,0
COST,2021-04-16,0
ISRG,2021-04-16,0
DXCM,2021-04-16,0
JPM,2021-04-16,0
TSLA,2021-04-16,0
MA,2021-04-16,0
BLK,2021-04-16,0
QCOM,2021-04-16,0
MDB,2021-04-16,0
AAPL,2021-04-16,1
V,2021-04-16,0
NFLX,2021-04-16,1
